Date	Total	Daily
2020-03-02	0	0
2020-03-03	0	0
2020-03-04	0	0
2020-03-05	2	2
2020-03-06	2	0
2020-03-07	8	6
2020-03-08	8	0
2020-03-09	13	5
2020-03-10	14	1
2020-03-11	14	0
2020-03-12	18	4
2020-03-13	23	5
2020-03-14	28	5
2020-03-15	37	9
2020-03-16	40	3
2020-03-17	43	3
2020-03-18	51	8
2020-03-19	70	19
2020-03-20	76	6
2020-03-21	84	8
2020-03-22	108	24
2020-03-23	131	23
2020-03-24	152	21
2020-03-25	178	26
2020-03-26	223	45
2020-03-27	279	56
2020-03-28	308	29
2020-03-29	340	32
2020-03-30	374	34
2020-03-31	397	23
